id,lon,lat,year,month,day,hour,drogue,u,v,sst,season
9619176,39.951,-8.674,1998,3,26,6,0,-0.1719,0.037,30.396,NE
9619176,39.935,-8.657,1998,3,26,12,0,-0.0346,0.1488,30.395,NE
9619176,39.924,-8.598,1998,3,26,18,0,-0.0332,0.0846,30.362,NE
9619176,39.9,-8.608,1998,3,27,0,0,-0.0683,-0.0099,30.138,NE
9619176,39.877,-8.591,1998,3,27,6,0,-0.0908,0.0802,NaN,NE
9619176,39.856,-8.57,1998,3,27,12,0,-0.0729,0.0966,NaN,NE
9619176,39.835,-8.548,1998,3,27,18,0,-0.0628,0.117,NaN,NE
9619176,39.815,-8.526,1998,3,28,0,0,-0.0718,0.1166,NaN,NE
9619176,39.797,-8.502,1998,3,28,6,0,-0.0908,0.1069,NaN,NE
9619176,39.781,-8.478,1998,3,28,12,0,-0.0574,0.1072,30.714,NE
9619176,39.767,-8.453,1998,3,28,18,0,-0.0878,0.1259,NaN,NE
9619176,39.756,-8.426,1998,3,29,0,0,-0.0737,0.112,30.389,NE
9619176,39.747,-8.396,1998,3,29,6,0,-0.0298,0.1458,30.421,NE
9619176,39.754,-8.357,1998,3,29,12,0,0.0872,0.2086,31.085,NE
9619176,39.778,-8.301,1998,3,29,18,0,-0.0568,0.2679,NaN,NE
9619176,39.721,-8.245,1998,3,30,0,0,NaN,NaN,NaN,NE
9727913,39.967,-8.725,1998,9,20,6,0,-0.047,0.6316,26.102,SE
9727913,39.983,-8.579,1998,9,20,12,0,0.1146,0.73740000000000006,26.29,SE
9727913,39.995,-8.407,1998,9,20,18,0,0.1354,0.7482,26.162,SE
26218,39.994,-7.829,2000,6,2,6,0,0.049,0.3256,26.895,SE
2344299,39.885,-9.221,2005,6,6,18,0,-0.2688,0.3924,27.861,SE
2344299,39.852,-9.135,2005,6,7,0,0,-0.1619,0.433,27.786,SE
2344299,39.809,-9.025,2005,6,7,6,0,-0.0935,0.5886,27.789,SE
2344299,39.815,-8.876,2005,6,7,12,0,-0.1667,0.5845,27.943,SE
2344299,39.736,-8.768,2005,6,7,18,0,-0.2493,0.5863,27.854,SE
2344299,39.701,-8.623,2005,6,8,0,0,-0.058,0.6586,27.809,SE
2344299,39.699,-8.482,2005,6,8,6,0,0.0308,0.674,27.778,SE
2344299,39.708,-8.33,2005,6,8,12,0,0.102,0.7125,27.851,SE
2344299,39.73,-8.176,2005,6,8,18,0,NaN,NaN,27.682,SE
53390,39.935,-8.796,2007,9,3,0,0,-0.2422,0.4365,25.852,SE
53390,39.881,-8.699,2007,9,3,6,0,-0.26,0.4676,26.005,SE
53390,39.818,-8.594,2007,9,3,12,0,-0.1934,0.4662,26.391,SE
53390,39.779,-8.502,2007,9,3,18,0,-0.0825,0.5196,26.098,SE
53390,39.755,-8.374,2007,9,4,0,0,-0.0255,0.6206,25.981,SE
53390,39.748,-8.24,2007,9,4,6,0,0.1523,0.7386,NaN,SE
53390,39.802,-8.067,2007,9,4,12,0,NaN,NaN,NaN,SE
45957,39.978,-9,2005,8,11,0,1,-0.4876,0.3321,25.637,SE
45957,39.9,-8.896,2005,8,11,6,1,-0.249,0.5696,25.675,SE
45957,39.88,-8.777,2005,8,11,12,1,0.1395,0.6372,25.96,SE
45957,39.955,-8.647,2005,8,11,18,1,0.3387,0.5299,25.765,SE
45957,39.943,-8.462,2005,8,13,0,1,-0.3725,0.3732,25.648,SE
45957,39.898,-8.363,2005,8,13,6,1,-0.187,0.717,25.679,SE
45957,39.87,-8.182,2005,8,13,12,1,0.1167,0.8489,25.867,SE
45957,39.944,-8.031,2005,8,13,18,1,0.4493,0.8353,25.733,SE
45976,39.883,-9.224,2005,5,23,6,1,-0.1974,0.4579,27.725,SE
45976,39.839,-9.128,2005,5,23,12,1,-0.1846,0.4797,27.65,SE
45976,39.811,-9.036,2005,5,23,18,1,-0.1208,0.4864,27.614,SE
45976,39.791,-8.938,2005,5,24,0,1,-0.1617,0.4839,27.653,SE
45976,39.747,-8.847,2005,5,24,6,1,-0.1738,0.421,27.635,SE
45976,39.723,-8.774,2005,5,24,12,1,-0.0629,0.4122,27.714,SE
45976,39.723,-8.686,2005,5,24,18,1,-0.0497,0.4934,27.698,SE
45976,39.704,-8.581,2005,5,25,0,1,-0.0295,0.5288,27.658,SE
45976,39.711,-8.48,2005,5,25,6,1,0.0394,0.5851,27.653,SE
45976,39.719,-8.352,2005,5,25,12,1,0.0934,0.6199,27.653,SE
45976,39.748,-8.238,2005,5,25,18,1,0.1056,0.5353,27.65,SE
45976,39.761,-8.143,2005,5,26,0,1,0.1717,0.4588,27.618,SE
45976,39.815,-8.059,2005,5,26,6,1,0.3856,0.6402,27.619,SE
45976,39.912,-7.893,2005,5,26,12,1,0.4503,0.9455,27.616,SE
45976,39.991,-7.689,2005,5,26,18,1,0.1648,1.1407,27.587,SE
46025,39.841,-9.258,2005,5,30,0,1,-0.2121,0.5265,27.403,SE
46025,39.8,-9.151,2005,5,30,6,1,-0.1937,0.6216,27.419,SE
46025,39.765,-9.015,2005,5,30,12,1,-0.1309,0.7038,27.507,SE
46025,39.748,-8.876,2005,5,30,18,1,-0.1046,0.7051,27.448,SE
46025,39.724,-8.739,2005,5,31,0,1,-0.0475,0.7111,27.403,SE
46025,39.73,-8.598,2005,5,31,6,1,0.0423,0.6572,27.434,SE
46025,39.74,-8.483,2005,5,31,12,1,0.0532,0.6546,27.586,SE
46025,39.751,-8.342,2005,5,31,18,1,0.1106,0.6934,27.506,SE
46025,39.784,-8.212,2005,6,1,0,1,0.2119,0.6304,27.468,SE
46025,39.834,-8.096,2005,6,1,6,1,0.3016,0.691,27.47,SE
46025,39.902,-7.942,2005,6,1,12,1,0.3294,0.9517,27.648,SE
46025,39.963,-7.724,2005,6,1,18,1,0.1325,1.1908,27.54,SE
36163,39.942,-9.102,2008,8,21,6,0,-0.1976,0.7286,NaN,SE
36163,39.917,-8.933,2008,8,21,12,0,-0.2205,0.7418,NaN,SE
36163,39.836,-8.784,2008,8,21,18,0,-0.2766,0.7305,NaN,SE
36163,39.783,-8.621,2008,8,22,0,0,-0.11,0.7689,NaN,SE
36163,39.772,-8.455,2008,8,22,6,0,-0.0031,0.7903,NaN,SE
36163,39.77,-8.281,2008,8,22,12,0,-0.002,0.7553,NaN,SE
36163,39.752,-8.129,2008,8,22,18,0,0.0999,0.6057,NaN,SE
36163,39.785,-8.017,2008,8,23,0,0,0.1338,0.2127,NaN,SE
36163,39.786,-8.015,2008,8,23,6,0,NaN,NaN,NaN,SE
57899,39.915,-9.001,2006,8,16,0,0,-0.4367,0.7054,NaN,SE
57899,39.835,-8.85,2006,8,16,6,0,-0.2501,0.7586,NaN,SE
57899,39.804,-8.684,2006,8,16,12,0,-0.0616,0.8559,NaN,SE
57899,39.789,-8.503,2006,8,16,18,0,0.0732,0.902,NaN,SE
57899,39.813,-8.319,2006,8,17,0,0,0.298,0.8996,NaN,SE
57899,39.887,-8.13,2006,8,17,6,0,0.4638,1.0797,NaN,SE
57899,39.974,-7.874,2006,8,17,12,0,0.3583,1.3616,NaN,SE
59374,39.984,-8.933,2006,11,28,0,0,-0.1196,0.4909,28.321,NE
59374,39.965,-8.822,2006,11,28,6,0,-0.0771,0.5004,28.462,NE
59374,39.947,-8.71,2006,11,28,12,0,-0.0827,0.5205,28.293,NE
59374,39.927,-8.593,2006,11,28,18,0,-0.0567,0.5036,28.288,NE
59374,39.916,-8.479,2006,11,29,0,0,0.0436,0.5221,28.11,NE
59374,39.947,-8.358,2006,11,29,6,0,0.1181,0.6483,28.187,NE
59374,39.969,-8.192,2006,11,29,12,0,0.1483,0.7337,28.22,NE
52948,39.946,-7.58,2007,4,13,12,0,-0.5352,0.9106,29.612,IN
63908,39.864,-9.271,2007,6,23,0,1,-0.1462,0.9849,26.279,SE
63908,39.859,-9.074,2007,6,23,6,1,-0.0743,1.002,26.272,SE
63908,39.835,-8.88,2007,6,23,12,1,-0.0644,1.008,26.304,SE
63908,39.834,-8.68,2007,6,23,18,1,-0.005,1.0321,26.272,SE
63908,39.833,-8.476,2007,6,24,0,1,0.1366,1.0092,26.266,SE
63908,39.887,-8.286,2007,6,24,6,1,0.2847,1.0344,26.245,SE
63908,39.945,-8.072,2007,6,24,12,1,0.3448,1.2299,26.257,SE
71123,39.994,-9.192,2007,11,10,12,1,-0.1667,0.3253,27.828,NE
71123,39.969,-9.127,2007,11,10,18,1,-0.1791,0.3969,27.683,NE
71123,39.923,-9.037,2007,11,11,0,1,-0.2072,0.4221,27.554,NE
71123,39.887,-8.962,2007,11,11,6,1,-0.1884,0.3769,27.598,NE
71123,39.849,-8.89,2007,11,11,12,1,-0.1471,0.3854,28.141,NE
71123,39.83,-8.812,2007,11,11,18,1,-0.0604,0.4264,27.98,NE
71123,39.826,-8.723,2007,11,12,0,1,-0.0873,0.4288,27.645,NE
71123,39.795,-8.644,2007,11,12,6,1,-0.0689,0.4639,27.623,NE
71123,39.799,-8.542,2007,11,12,12,1,-0.0528,0.493,27.761,NE
71123,39.775,-8.452,2007,11,12,18,1,-0.0247,0.4844,27.73,NE
71123,39.789,-8.353,2007,11,13,0,1,0.0587,0.4778,27.641,NE
71123,39.798,-8.265,2007,11,13,6,1,0.0745,0.4578,27.669,NE
71123,39.818,-8.174,2007,11,13,12,1,0.1505,0.5126,27.895,NE
71123,39.856,-8.065,2007,11,13,18,1,0.2132,0.6169,27.733,NE
71123,39.902,-7.933,2007,11,14,0,1,0.182,0.6968,27.585,NE
